ID,System,TM,TMA,AverageTip,RST,RSI,RSE,Time,CorrectSteps,TriedSteps,Score
1051415,0,0.1,1.0,1.0,0.0,0.0,1.0,0.86,1.0,0.26,100
1051421,0,1.0,1.0,1.0,0.0,0.0,1.0,0.85,1.0,0.19,64
1051439,1,0.89,0.0,1.0,0.0,0.0,1.0,0.45,1.0,0.19,12
1051443,0,1.0,0.0,0.4,0.6,0.0,0.4,0.74,1.0,0.26,96
1051444,0,1.0,1.0,1.0,0.0,0.0,1.0,0.49,1.0,0.26,100
1051453,0,0.39,1.0,1.0,0.0,0.0,1.0,0.95,1.0,0.41,84
1051455,1,0.03,0.0,1.0,0.0,0.0,1.0,0.35,1.0,0.19,100
1051502,1,0.44,1.0,1.0,0.0,0.0,1.0,0.04,1.0,0.33,96
1051503,1,1.0,0.0,1.0,0.0,0.0,1.0,0.41,1.0,0.41,88
1051507,1,0.22,0.0,0.3,0.6,0.2,0.2,0.67,1.0,0.56,96
1051515,1,0.02,0.0,1.0,0.0,0.0,1.0,0.62,1.0,0.63,88
1051528,0,1.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,0.48,100
1051533,0,1.0,0.0,0.2,0.5,0.5,0.0,0.84,0.4,0.19,100
1051535,0,0.16,0.0,1.0,0.0,0.0,1.0,0.35,1.0,0.19,92
1051540,1,0.06,0.0,0.4,0.6,0.0,0.4,0.59,1.0,0.33,100
1051542,1,1.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.19,100
1051545,1,0.31,0.0,1.0,0.0,0.0,1.0,0.91,1.0,0.26,100
1051546,0,1.0,1.0,1.0,0.0,0.0,1.0,0.89,1.0,1.0,96
1051548,0,1.0,1.0,1.0,0.0,0.0,1.0,0.78,1.0,0.44,100
1053315,1,0.73,1.0,0.7,0.0,0.4,0.6,0.92,1.0,0.41,100
1053316,0,0.57,0.0,0.5,0.2,0.4,0.4,0.72,1.0,0.41,100
1053321,1,0.51,1.0,1.0,0.0,0.0,1.0,0.98,1.0,0.33,76
1053329,0,0.18,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.19,100
1053330,1,1.0,1.0,1.0,0.0,0.0,1.0,0.88,1.0,0.56,100
1053339,0,0.7,1.0,0.8,0.2,0.0,0.8,0.82,1.0,0.19,88
1053348,0,1.0,0.0,0.45,0.2,0.4,0.4,0.87,1.0,1.0,72
1013319,1,0.33,0.42,0.0,1.0,0.0,0.0,0.15,1.0,0.26,84
1021330,0,0.2,0.7,0.2,0.8,0.0,0.2,0.17,1.0,0.44,100
1021412,1,0.63,0.0,0.0,1.0,0.0,0.0,0.19,1.0,0.19,100
1021435,1,0.44,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.19,100
1021520,1,0.32,0.0,0.2,0.2,0.8,0.0,0.08,1.0,0.19,100
1021521,0,0.02,0.0,0.0,1.0,0.0,0.0,0.09,1.0,0.19,100
1023317,0,0.01,0.0,0.1,0.8,0.2,0.0,0.27,1.0,0.48,100
1031430,0,0.49,0.0,0.0,1.0,0.0,0.0,0.19,1.0,0.78,100
1031444,1,0.08,0.37,0.25,0.6,0.4,0.0,0.28,1.0,0.48,100
